代码,名称,最新价,涨跌额,涨跌幅,昨收,今开,最高,最低,成交量,成交额
sz399611,中创100R,3134.318,-10.544,-0.335,3144.862,3191.74,3196.48,3128.189,2056958862,118734632679
sz399612,中创100,2654.913,-8.93,-0.335,2663.843,2703.552,2707.567,2649.721,2056958862,118734632679
sz399613,深证能源,3325.021,-43.938,-1.304,3368.959,3364.994,3364.994,3317.471,219941591,1390517738
sz399614,深证材料,3547.322,27.451,0.78,3519.871,3529.364,3599.15,3527.404,2955729027,67628084191
sz399615,深证工业,4110.014,-23.415,-0.566,4133.429,4167.822,4170.68,4102.772,3095029396,82391077721
sz399616,深证可选,6417.215,-13.24,-0.206,6430.455,6452.247,6455.063,6404.89,1671220263,23258447763
sz399617,深证消费,9794.742,-28.614,-0.291,9823.356,9822.771,9832.675,9767.235,169863427,3213699278
sz399618,深证医药,8344.625,-33.308,-0.398,8377.933,8408.595,8423.404,8331.441,370931435,8987948728
sz399619,深证金融,7362.881,50.818,0.695,7312.063,7404.421,7409.586,7335.375,759889083,8883645578
sz399620,深证信息,5288.497,-22.583,-0.425,5311.08,5383.621,5395.587,5273.516,2422188819,73463793468
sz399621,深证电信,10179.119,107.553,1.068,10071.566,10458.65,10555.655,10085.789,299139431,34200334483
sz399622,深证公用,1779.034,4.873,0.275,1774.161,1777.513,1786.794,1774.683,289274306,2663802557
sz399623,中小基础,8712.966,-12.347,-0.142,8725.313,8785.407,8792.516,8693.281,6744497877,126531817093
sz399624,中创400,2457.057,-5.474,-0.222,2462.531,2479.651,2482.542,2452.355,6611217067,133032637172
sz399625,中创500,2335.197,-6.297,-0.269,2341.494,2368.604,2371.729,2330.85,8668175929,251767269851
sz399626,中创成长,1992.303,-5.61,-0.281,1997.913,2027.876,2030.739,1988.439,3149531778,142514517134
sz399627,中创价值,2460.477,-10.259,-0.415,2470.736,2481.857,2483.044,2454.769,1995880991,45110828379
sz399628,700成长,2305.684,-6.368,-0.275,2312.052,2331.699,2334.912,2301.836,2987293529,64278360925
sz399629,700价值,2878.708,-1.456,-0.051,2880.164,2887.794,2898.629,2871.861,2891629004,29737840103
sz399630,1000成长,1722.617,-6.172,-0.357,1728.789,1750.869,1752.825,1719.074,5118760790,192295522506
sz399631,1000价值,2226.545,4.298,0.193,2222.247,2230.384,2235.72,2220.837,4972688655,63955023153
sz399632,深100EW,5105.415,4.974,0.098,5100.441,5153.424,5156.41,5092.103,2335785270,104776546798
sz399633,深300EW,6028.584,0.346,0.006,6028.238,6077.595,6082.687,6013.281,6108325683,191342123048
sz399634,中小等权,4185.118,4.508,0.108,4180.61,4210.689,4221.416,4173.646,2014312865,61169686054
sz399635,创业板EW,2056.963,-2.114,-0.103,2059.077,2085.881,2087.911,2053.307,1609979435,95691361812
sz399636,深证装备,7575.046,-53.783,-0.705,7628.829,7762.057,7778.658,7560.979,1868435518,76449751124
sz399637,深证地产,1901.448,14.865,0.788,1886.583,1882.841,1904.908,1851.0,1446535464,5788285238
sz399638,深证环保,7633.53,-90.998,-1.178,7724.528,7786.355,7805.753,7616.94,1358813315,60794891921
sz399639,深证大宗,2201.081,18.81,0.862,2182.271,2187.258,2229.223,2181.173,1393250177,39424959025
sz399640,创业基础,2824.672,-15.249,-0.537,2839.921,2877.464,2882.67,2819.232,7565205114,205031135311
sz399641,深证新兴,2708.621,-8.337,-0.307,2716.958,2751.907,2755.563,2703.631,4614685007,165667526193
sz399642,中小新兴,2239.485,-5.907,-0.263,2245.392,2266.393,2269.491,2234.696,2892848409,75329975501
sz399643,创业新兴,3773.505,-21.669,-0.571,3795.174,3863.891,3871.151,3767.456,1797651963,99313504141
sz399644,深证时钟,3573.57,2.707,0.076,3570.863,3579.984,3586.125,3562.41,2286591301,29302377398
sz399645,100低波,9526.08,19.662,0.207,9506.418,9542.8,9561.689,9503.713,1198394846,21830483430
